,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,CLOUD_SHADOW_PERCENTAGE,HIGH_PROBA_CLOUDS_PERCENTAGE,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,MEDIUM_PROBA_CLOUDS_PERCENTAGE,NODATA_PIXEL_PERCENTAGE,NOT_VEGETATED_PERCENTAGE,SNOW_ICE_PERCENTAGE,THIN_CIRRUS_PERCENTAGE,VEGETATION_PERCENTAGE,WATER_PERCENTAGE,Systemindex
2841,99.790682,99.79068200000002,0.0,17.03638,112.09327013201,18.6683480553442,82.754302,59.373426,8e-06,0.123741,0.0,0.0,0.0,20200525T040549_20200525T041919_T46RGT
2842,98.302667,98.302667,0.0,9.052645,114.461790381116,19.0549802339439,89.250022,77.399105,0.0,1.658883,0.0,0.0,0.0,20200525T040549_20200525T041919_T46RGU
2843,91.235811,91.235811,0.0,28.769302,116.731086550512,19.4731205019112,62.466508,94.486612,0.0,8.760998,0.0,0.0,0.0,20200525T040549_20200525T041919_T46RGV
2844,98.800149,98.800149,0.0,46.61811,108.29260669852,17.214203400618,52.181339,0.0,0.0,1.193486,0.0007,0.0,0.0,20200525T040549_20200525T041919_T47RKL
2845,99.759304,99.759304,0.0,7.835787,110.890166864294,17.5846189563769,91.923517,0.0,0.0,0.225112,0.0,0.0,0.0,20200525T040549_20200525T041919_T47RKM
2846,98.776712,98.776712,0.0,5.422421,113.368940196265,17.9911824031716,93.354291,0.0,0.001135,1.119734,0.0,0.0,0.0,20200525T040549_20200525T041919_T47RKN
2847,97.128203,97.128203,0.0,7.808932,115.729791564624,18.4319343768953,89.319271,7.364956,0.00106,2.843702,0.0,0.0,0.0,20200525T040549_20200525T041919_T47RKP
2848,98.166704,98.166704,0.0,15.698904,117.970994254287,18.9042173286762,82.4678,29.411444,0.0,1.832327,0.0,0.0,0.0,20200525T040549_20200525T041919_T47RKQ
2849,98.008218,98.008218,0.0,45.875627,109.756934540425,16.380853447825,52.132416,0.0,0.0,1.989247,0.000176,0.0,0.0,20200525T040549_20200525T041919_T47RLL
2850,99.541593,99.541593,0.0,29.392445,112.474782911396,16.7663309709927,70.149148,0.0,0.0,0.455918,0.0,0.0,0.0,20200525T040549_20200525T041919_T47RLM
2851,99.095757,99.095757,0.0,10.104306,115.058803466872,17.188923803276,88.991451,0.0,2.7e-05,0.89443,0.0,0.0,0.0,20200525T040549_20200525T041919_T47RLN
2852,99.502349,99.502349,0.0,9.475321,117.510706214475,17.6464155619495,90.027028,0.0,0.000289,0.495765,0.0,0.0,0.0,20200525T040549_20200525T041919_T47RLP
2853,99.995079,99.995079,0.0,3.059157,119.829661763452,18.1359061962893,96.935922,0.0,0.0,0.004781,0.0,0.0,0.0,20200525T040549_20200525T041919_T47RLQ
2854,96.137977,96.137977,0.0,45.075279,114.173345650711,15.955195586297,51.062697,46.674103,0.001761,3.8536,0.0,0.0,0.0,20200525T040549_20200525T041919_T47RMM
2855,94.360124,94.360124,0.0,15.063249,116.865965832396,16.3951495250185,79.296875,23.898053,0.002864,5.635866,0.0,0.0,0.0,20200525T040549_20200525T041919_T47RMN
2856,97.737676,97.737676,0.0,12.396425,119.41004447768,16.8706514853663,85.341251,3.677755,0.000809,2.260167,0.0,0.0,0.0,20200525T040549_20200525T041919_T47RMP
2857,99.817137,99.817137,0.0,6.094728,121.806043595935,17.3785274397051,93.722409,0.0,0.0,0.18279,0.0,0.0,0.0,20200525T040549_20200525T041919_T47RMQ
2858,92.688796,92.688796,0.0,11.142018,121.44481946639,16.1053117463946,81.546777,91.776019,0.007988,7.301643,0.0,0.0,0.0,20200525T040549_20200525T041919_T47RNP
2859,99.590409,99.590409,0.0,17.411047,120.092610697454,19.4053982543723,82.179362,52.024132,0.068071,0.314233,0.0,0.0,0.0,20200525T040549_20200525T041919_T47SKR
2860,99.727222,99.727222,0.0,6.298891,122.016921544407,18.6545131282809,93.428332,0.014857,0.0,0.272107,0.0,0.0,0.0,20200525T040549_20200525T041919_T47SLR
2861,96.904033,96.904033,0.0,48.740143,124.078968622935,19.2004256221447,48.163891,80.629015,0.000908,3.090212,0.0,0.0,3.4e-05,20200525T040549_20200525T041919_T47SLS
2862,99.99998,99.99998,0.0,2.486519,124.056798465107,17.9156263864701,97.513461,11.582032,4e-06,4e-06,0.0,0.0,0.0,20200525T040549_20200525T041919_T47SMR
2863,99.999186,99.999186,0.0,61.227745,126.170423215138,18.4799876134069,38.771442,97.960997,0.000488,0.0,0.0,0.0,0.0,20200525T040549_20200525T041919_T47SMS
2864,88.724458,88.724458,0.016437,31.485224,121.493383590121,17.2121482636294,57.239234,20.207565,1.036599,8.920336,0.0,0.001609,0.001372,20200526T042711_20200526T042710_T46REV
2865,99.752081,99.752081,0.0,6.084467,121.053885412806,15.9431917125075,93.667614,99.809968,0.0,0.246172,0.0,0.0,0.0,20200526T042711_20200526T042710_T46RFU
2866,92.220813,92.220813,0.016899,36.148709,123.583100857346,16.4589148912512,56.072104,78.972983,0.367318,6.985285,0.0,0.000189,0.0,20200526T042711_20200526T042710_T46RFV
2867,80.321091,80.321091,0.082344,42.42824,125.95085463307,17.0046738018061,37.892851,56.423742,5.60884,10.601573,0.0,0.040156,0.005794,20200526T042711_20200526T042710_T46SFA
2868,70.330945,70.330945,0.042816,44.717449,128.167228332479,17.5781995708522,25.613496,34.744549,18.675458,6.367385,0.0,0.000422,0.019626,20200526T042711_20200526T042710_T46SFB
2869,94.327642,94.327642,0.024645,82.494736,106.51577120589,17.9530623045446,11.814973,24.219,0.301706,2.402149,0.017933,1.788054,0.000403,20200526T042711_20200526T043955_T46RBR
2870,83.534569,83.534569,0.0,33.892679,109.035233757824,18.2972366577182,49.641889,46.744847,0.081097,16.155759,0.0,0.0,0.215393,20200526T042711_20200526T043955_T46RBS
2871,88.574782,88.574782,0.0,25.065038,111.450652911804,18.6771191904235,63.509744,68.766016,0.024124,9.916003,0.0,0.0,1.474163,20200526T042711_20200526T043955_T46RBT
2872,92.669412,92.669412,0.0,60.259509,113.761897817172,19.0909447132122,32.409903,90.677124,4.866002,1.021486,0.0,0.0,0.0,20200526T042711_20200526T043955_T46RBU
2873,84.396133,84.396133,0.046028,46.875581,105.102939508056,16.7918638106124,36.719108,0.0,0.009761,13.141838,0.801444,0.247853,0.392248,20200526T042711_20200526T043955_T46RCQ
2874,91.846143,91.846143,0.001178,77.851385,107.850849873616,17.1100289949448,13.98225,0.0,0.035415,7.732728,0.012508,0.159064,0.003656,20200526T042711_20200526T043955_T46RCR
2875,85.408512,85.408512,0.0,58.443433,110.488402413692,17.4675753957796,26.965079,0.0,0.06357,14.325175,0.0,6e-05,0.080312,20200526T042711_20200526T043955_T46RCS
2876,97.119167,97.119167,0.0,42.07814,113.009074479768,17.8618752085377,55.041027,0.0,0.000528,2.871739,0.0,0.0,0.004091,20200526T042711_20200526T043955_T46RCT
2877,83.436066,83.436066,0.021302,52.613831,115.413200658169,18.2909418935991,30.822235,2.90367,7.065941,7.557724,0.0,0.03728,0.002354,20200526T042711_20200526T043955_T46RCU
