,CLOUD_COVER,CLOUD_COVER_LAND,DATE_ACQUIRED,UTM_ZONE,WRS_PATH,WRS_ROW,Systemindex
218,74.23,74.23,2014/4/28,47,132,40,LC08_132040_20140428
219,78.79,78.79,2014/5/14,47,132,40,LC08_132040_20140514
220,32.05,32.05,2014/5/30,47,132,40,LC08_132040_20140530
221,69.89,69.89,2014/7/17,47,132,40,LC08_132040_20140717
222,80.11,80.11,2014/8/2,47,132,40,LC08_132040_20140802
223,79.26,79.26,2014/8/18,47,132,40,LC08_132040_20140818
224,80.68,80.68,2014/9/3,47,132,40,LC08_132040_20140903
225,92.9,92.9,2014/9/19,47,132,40,LC08_132040_20140919
226,31.65,31.65,2014/10/5,47,132,40,LC08_132040_20141005
227,4.13,4.13,2014/10/21,47,132,40,LC08_132040_20141021
228,6.87,6.87,2014/11/6,47,132,40,LC08_132040_20141106
229,2.52,2.52,2014/11/22,47,132,40,LC08_132040_20141122
230,12.23,12.23,2014/12/8,47,132,40,LC08_132040_20141208
231,3.02,3.02,2014/12/24,47,132,40,LC08_132040_20141224
232,22.77,22.77,2015/1/9,47,132,40,LC08_132040_20150109
233,1.88,1.88,2015/1/25,47,132,40,LC08_132040_20150125
234,23.7,23.7,2015/2/10,47,132,40,LC08_132040_20150210
235,16.36,16.36,2015/2/26,47,132,40,LC08_132040_20150226
236,22.91,22.91,2015/3/14,47,132,40,LC08_132040_20150314
237,1.54,1.54,2015/3/30,47,132,40,LC08_132040_20150330
238,4.28,4.28,2015/4/15,47,132,40,LC08_132040_20150415
239,42.9,42.9,2015/5/1,47,132,40,LC08_132040_20150501
240,90.29,90.29,2015/5/17,47,132,40,LC08_132040_20150517
241,55.06,55.06,2015/6/2,47,132,40,LC08_132040_20150602
242,52.21,52.21,2015/6/18,47,132,40,LC08_132040_20150618
243,77.3,77.3,2015/9/6,47,132,40,LC08_132040_20150906
244,79.21,79.21,2015/9/22,47,132,40,LC08_132040_20150922
245,88.63,88.63,2015/10/8,47,132,40,LC08_132040_20151008
246,49.71,49.71,2015/10/24,47,132,40,LC08_132040_20151024
247,1.12,1.12,2015/11/9,47,132,40,LC08_132040_20151109
248,3.41,3.41,2015/11/25,47,132,40,LC08_132040_20151125
249,18.49,18.49,2015/12/11,47,132,40,LC08_132040_20151211
250,83.2,83.2,2015/12/27,47,132,40,LC08_132040_20151227
251,1.12,1.12,2016/1/12,47,132,40,LC08_132040_20160112
252,65.7,65.7,2016/1/28,47,132,40,LC08_132040_20160128
253,7.19,7.19,2016/2/13,47,132,40,LC08_132040_20160213
254,37.47,37.47,2016/2/29,47,132,40,LC08_132040_20160229
255,42.67,42.67,2016/3/16,47,132,40,LC08_132040_20160316
256,48.13,48.13,2016/4/1,47,132,40,LC08_132040_20160401
257,24.03,24.03,2016/4/17,47,132,40,LC08_132040_20160417
258,80.89,80.89,2016/5/3,47,132,40,LC08_132040_20160503
259,46.65,46.65,2016/5/19,47,132,40,LC08_132040_20160519
260,64.58,64.58,2016/6/4,47,132,40,LC08_132040_20160604
261,88.29,88.29,2016/6/20,47,132,40,LC08_132040_20160620
262,93.14,93.14,2016/7/6,47,132,40,LC08_132040_20160706
263,28.25,28.25,2016/8/7,47,132,40,LC08_132040_20160807
264,64.95,64.95,2016/8/23,47,132,40,LC08_132040_20160823
265,83.48,83.48,2016/9/24,47,132,40,LC08_132040_20160924
266,80.79,80.79,2016/10/10,47,132,40,LC08_132040_20161010
267,25.75,25.75,2016/10/26,47,132,40,LC08_132040_20161026
268,1.95,1.95,2016/11/11,47,132,40,LC08_132040_20161111
