,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,Systemindex
5241,60.1361,60.1361,153.466877348,37.6571802607,20181006T041619_20181006T042307_T46RET
5242,58.2135,58.2135,153.894060437,38.4878109704,20181006T041619_20181006T042307_T46REU
5243,48.1873,48.1873,154.300330489,39.320632205,20181006T041619_20181006T042307_T46REV
5244,13.1056,13.1056,154.103726544,35.597909355,20181006T041619_20181006T042307_T46RFR
5245,49.8603,49.8603,154.566354844,36.4297611481,20181006T041619_20181006T042307_T46RFS
5246,92.6134,92.6134,155.006004818,37.2633831663,20181006T041619_20181006T042307_T46RFT
5247,98.4434,98.4434,155.424692563,38.0995807465,20181006T041619_20181006T042307_T46RFU
5248,94.776,94.776,155.823426317,38.9376975399,20181006T041619_20181006T042307_T46RFV
5249,30.3377,30.3377,155.687824863,35.207679439,20181006T041619_20181006T042307_T46RGR
5250,29.0696,29.0696,156.138504443,36.0453271523,20181006T041619_20181006T042307_T46RGS
5251,90.5842,90.5842,156.567261877,36.8844452682,20181006T041619_20181006T042307_T46RGT
5252,91.4272,91.4272,156.976121763,37.7258580392,20181006T041619_20181006T042307_T46RGU
5253,91.6311,91.6311,157.366079355,38.5689238665,20181006T041619_20181006T042307_T46RGV
5254,84.082,84.082,156.203230131,39.7770695162,20181006T041619_20181006T042307_T46SFA
5255,79.2785,79.2785,156.565673349,40.6185661398,20181006T041619_20181006T042307_T46SFB
5256,81.3581,81.3581,157.73818638,39.4129850199,20181006T041619_20181006T042307_T46SGA
5257,3.3417,3.3417,157.550579612,35.7407543692,20181006T041619_20181006T042307_T47RKM
5258,36.7923,36.7923,157.887337698,36.6020549932,20181006T041619_20181006T042307_T47RKN
5259,57.2961,57.2961,158.2041574,37.4653854919,20181006T041619_20181006T042307_T47RKP
5260,70.6734,70.6734,158.501931709,38.3301233513,20181006T041619_20181006T042307_T47RKQ
5261,0.393,0.393,160.097916905,38.0325820433,20181006T041619_20181006T042307_T47RLQ
5262,84.3496,84.3496,158.781650417,39.195620657,20181006T041619_20181006T042307_T47SKR
5263,20.8291,20.8291,160.366492433,38.9026095682,20181006T041619_20181006T042307_T47SLR
5264,80.9895,80.9895,155.009886998,36.7255420589,20181007T043701_20181007T044508_T45RYM
5265,68.7127,68.7127,155.449280438,37.558046994,20181007T043701_20181007T044508_T45RYN
5266,92.4406,92.4406,155.868534191,38.3930347982,20181007T043701_20181007T044508_T45RYP
5267,32.4972,32.4972,156.017494822,35.5522413167,20181007T043701_20181007T044508_T46RBR
5268,78.4372,78.4372,156.390119674,36.4065548393,20181007T043701_20181007T044508_T46RBS
5269,67.6256,67.6256,156.740819881,37.2621725182,20181007T043701_20181007T044508_T46RBT
5270,86.0621,86.0621,157.07109268,38.1200234662,20181007T043701_20181007T044508_T46RBU
5271,82.3793,82.3793,157.38205708,38.9794248721,20181007T043701_20181007T044508_T46RBV
5272,7.8644,7.8644,157.99171193,36.0768200305,20181007T043701_20181007T044508_T46RCS
5273,22.9967,22.9967,158.329006152,36.9378843328,20181007T043701_20181007T044508_T46RCT
5274,49.6738,49.6738,158.647137814,37.8009142469,20181007T043701_20181007T044508_T46RCU
5275,72.7906,72.7906,158.947181703,38.6652480158,20181007T043701_20181007T044508_T46RCV
5276,50.715,50.715,153.02461462,37.6352787166,20181008T040631_20181008T041338_T46RGS
5277,44.5066,44.5066,153.485306159,38.455443336,20181008T040631_20181008T041338_T46RGT
5278,27.8745,27.8745,153.925498453,39.2783899482,20181008T040631_20181008T041338_T46RGU
5279,6.5393,6.5393,154.346269515,40.1034223653,20181008T040631_20181008T041338_T46RGV
5280,74.3656,74.3656,153.960383646,36.4481108313,20181008T040631_20181008T041338_T47RKL
5281,98.996,98.996,154.359894294,37.291334943,20181008T040631_20181008T041338_T47RKM
5282,91.2685,91.2685,154.736641198,38.136240834,20181008T040631_20181008T041338_T47RKN
